"";"Experimentateur";"Pédagogie";"Classe";"Type.de.classe";"Sexe..F.ou.M.";"Langues";"Lateralite";"Date.naissance";"Date.passation.jetons";"Age.réel.jetons";"age";"Classe.d.age";"T1.Réponse";"T21.TOTAL";"T22.TOTAL";"T23.TOTAL";"T31TOTAL";"T32.TOTAL";"T41a.TOTAL";"T41b.TOTAL";"T41cTOTAL";"T41d.TOTAL";"T42a.TOTAL";"T42b.TOTAL";"T42c.TOTAL";"T42d.TOTAL";"T51.TOTAL";"T52.TOTAL";"T61.TOTAL";"T62TOTAL";"T71.TOTAL";"T72TOTAL";"T81.TOTAL";"T82.TOTAL";"T83.TOTAL";"T84.TOTAL";"T85.TOTAL";"T86.TOTAL";"T87.TOTAL";"T88.TOTAL";"T89.TOTAL";"T91.Total";"T92.Total";"T111.TOTAL";"T112.TOTAL";"T113.TOTAL";"annee.scolaire"
"2013-016";"JB";"P1";"9";"petits moyens";"F";"français";"D";2013-03-31;2018-01-22;"4 ans 9 mois 22 jours";4,81287814493388;4;"100";1;1;1;1;1;"1";"1";"1";"1";1;1;1;1;0;NA;1;1;1;"1";1;1;1;1;1;1;1;1;1;"1";"1";"1";"0";NA;"17/18"
"2013-019";"JB";"P1";"9";"petits moyens";"M";"français";"D";2013-02-05;2018-02-06;"5 ans 0 mois 1 jours";5,00177950557122;5;"29";1;1;1;1;1;"1";"1";"1";"1";1;1;1;1;1;1;1;1;0;"1";1;1;1;1;1;0;0;0;0;"1";"1";"0";NA;NA;"17/18"
"2013-020";"JB";"P1";"9";"petits moyens";"M";"français";"D";2013-01-21;2018-01-22;"5 ans 0 mois 1 jours";5,00177950557122;5;"14";1;1;0;1;1;"1";"1";"1";"1";0;0;1;1;1;1;1;1;1;"0";1;1;1;1;1;0;1;0;0;"1";"1";"1";"0";NA;"17/18"
"2013-021";"JB";"P1";"9";"petits moyens";"F";"français";"D";2013-03-12;2018-01-22;"4 ans 10 mois 10 jours";4,86489446163112;4;"18";1;1;0;1;1;"1";"1";"1";"0";1;0;0;1;1;0;1;1;1;"1";1;0;1;0;0;0;0;0;0;"0";"0";"1";"0";NA;"17/18"
"2013-022";"JB";"P1";"9";"petits moyens";"M";"français";"D";2013-02-22;2018-01-22;"4 ans 11 mois 0 jours";4,91417307744956;4;"15";1;0;NA;0;NA;"0";"0";"0";"0";NA;NA;NA;NA;0;NA;1;0;0;"0";1;1;1;1;1;1;0;0;0;"0";"1";"1";"0";NA;"17/18"
"2013-024";"JB";"P1";"9";"petits moyens";"M";"français";"G";2013-01-07;2018-01-29;"5 ans 0 mois 22 jours";5,05927122402606;5;"1";0;NA;NA;0;NA;"0";"0";"0";"0";NA;NA;NA;NA;0;NA;1;1;0;"1";1;0;0;0;0;0;0;0;0;"0";"0";"0";NA;NA;"17/18"
"2013-037";"JB";"P1";"9";"petits moyens";NA;"français";"D";2013-03-04;2018-02-02;"4 ans 10 mois 29 jours";4,91691077832836;4;"10";1;1;0;1;1;"0";"0";"0";"0";NA;NA;NA;NA;0;NA;1;1;1;"1";1;1;1;1;1;1;1;1;1;"1";"1";"0";NA;NA;"17/18"
"2013-040";"JB";"P1";"9";"petits moyens";"F";"français";"D";2013-11-19;2018-01-22;"4 ans 2 mois 3 jours";4,17499384017302;4;"10";1;0;NA;1;0;"1";"0";"1";"1";0;0;0;0;0;NA;1;1;0;"0";1;0;0;0;0;0;1;1;0;"0";"0";"1";"0";NA;"17/18"
"2013-041";"JB";"P1";"9";"petits moyens";"F";"français";"D";2013-06-16;2018-01-22;"4 ans 7 mois 6 jours";4,60207517726613;4;"9";1;0;NA;0;NA;"0";"0";"0";"0";NA;NA;NA;NA;0;NA;1;1;0;"0";1;0;0;1;0;0;1;0;0;"1";"0";"0";NA;NA;"17/18"
"2013-047";"JB";"P1";"9";"petits moyens";"M";"français";"D";2013-06-10;2018-01-12;"4 ans 7 mois 2 jours";4,59112437375092;4;"2";1;0;NA;0;NA;"0";"0";"0";"0";NA;NA;NA;NA;0;NA;1;1;0;"0";1;0;1;0;0;0;0;0;0;"0";"0";"1";"0";NA;"17/18"
"2013-054";"JB";"P1";"9";"petits moyens";"F";"français";"D";2013-11-15;2018-01-22;"4 ans 2 mois 7 jours";4,18594464368823;4;"3";1;0;NA;0;NA;"0";"0";"0";"0";NA;NA;NA;NA;0;NA;1;0;0;"1";0;0;0;0;0;0;0;0;0;"0";"0";"1";"0";NA;"17/18"
"2013-070";"JB";"P2";"3";"petits moyens grands";"F";"français";"D";2013-01-17;2018-02-06;"5 ans 0 mois 20 jours";5,05379582226846;5;"9";1;0;NA;0;NA;"0";"0";"0";"0";NA;NA;NA;NA;0;NA;1;0;0;"0";1;0;0;0;0;1;0;0;0;"0";"1";"1";"0";NA;"17/18"
