"T1";"T2";"T3";"T41";"T42";"T5";"T61";"T62";"T71";"T72";"T8"
18;"010";"00";"0001";"0000";"00";"1";"1";"1";"0";"101011000"
27;"110";"00";"1100";"0000";"00";"1";"0";"0";"0";"100100000"
12;"000";"00";"0000";"0000";"00";"1";"0";"0";"0";"111111111"
5;"000";"10";"0011";"0001";"00";"1";"1";"0";"0";"111010000"
10;"110";"11";"0011";"0011";"10";"1";"1";"1";"1";"111111111"
3;"100";"00";"0000";"0000";"00";"1";"1";"0";"0";"000000000"
4;"100";"00";"0011";"0000";"00";"1";"0";"0";"1";"011000000"
21;"100";"10";"0010";"0000";"10";"1";"0";"1";"0";"111111100"
4;"000";"00";"0000";"0000";"00";"0";"1";"0";"0";"011111000"
1;"000";"00";"1000";"0001";"00";"1";"1";"1";"0";"100000000"
10;"111";"11";"0001";"0000";"00";"1";"1";"1";"0";"111111111"
5;"011";"00";"0100";"0000";"00";"1";"0";"1";"0";"101110000"
14;"110";"00";"0011";"0001";"00";"1";"1";"1";"0";"111110000"
0;"000";"10";"0010";"0000";"00";"1";"1";"0";"0";"100000000"
15;"110";"11";"0010";"0000";"00";"1";"0";"1";"0";"111111111"
24;"111";"11";"1110";"0010";"10";"1";"1";"0";"0";"111110010"
3;"100";"00";"0000";"0000";"00";"1";"1";"0";"0";"110000001"
3;"000";"00";"0000";"0000";"00";"0";"1";"0";"1";"000000000"
6;"110";"00";"0111";"0000";"00";"1";"0";"0";"0";"111111101"
3;"110";"10";"0000";"0000";"00";"1";"1";"1";"1";"111110000"
4;"110";"00";"1111";"0000";"00";"1";"1";"1";"0";"111100110"
30;"111";"11";"0010";"0000";"10";"1";"0";"0";"1";"111111111"
2;"000";"00";"0000";"0000";"00";"1";"1";"0";"0";"000000000"
11;"111";"11";"1111";"0011";"00";"1";"1";"1";"0";"111111110"
14;"110";"00";"1101";"1000";"00";"1";"1";"0";"1";"100001000"
3;"000";"10";"0000";"0000";"00";"1";"1";"0";"0";"100000000"
13;"111";"11";"0011";"0000";"10";"1";"1";"1";"0";"111111111"
