"T1";"T21";"T22";"T23";"T31";"T32";"T41";"T42";"T51";"T52";"T61";"T62";"T71";"T72";"T81";"T82";"T83";"T84";"T85";"T86";"T87";"T88";"T89"
7;"1";"1";"0";"1";"0";"0000";"0000";"1";"0";"1";"1";"0";"0";"1";"1";"1";"1";"1";"0";"0";"0";"0"
3;"1";"0";"0";"0";"0";"0101";"0000";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
11;"1";"0";"0";"0";"0";"1100";"1100";"0";"0";"1";"1";"0";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1"
12;"1";"1";"1";"1";"1";"0000";"0000";"0";"0";"1";"1";"1";"0";"1";"1";"1";"1";"1";"1";"1";"1";"0"
10;"1";"1";"1";"1";"0";"1100";"1001";"1";"0";"1";"1";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
27;"1";"1";"0";"1";"1";"1111";"1111";"0";"0";"1";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
4;"1";"0";"0";"0";"0";"0110";"0000";"0";"0";"1";"1";"1";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0"
5;"1";"1";"0";"0";"0";"0110";"0000";"0";"0";"1";"1";"0";"0";"1";"1";"1";"1";"1";"0";"1";"1";"0"
10;"1";"0";"0";"1";"0";"0000";"0000";"0";"0";"1";"0";"0";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1"
10;"1";"1";"1";"1";"1";"1111";"1111";"1";"1";"1";"0";"1";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1"
10;"1";"1";"1";"1";"0";"0001";"0000";"0";"0";"1";"0";"0";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1"
3;"0";"0";"0";"0";"0";"0010";"0000";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
11;"0";"0";"0";"0";"0";"0001";"0000";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1"
8;"1";"1";"0";"1";"0";"0011";"0000";"0";"0";"1";"0";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
5;"0";"0";"0";"0";"0";"1100";"0000";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0"
20;"1";"1";"1";"1";"1";"1010";"1011";"1";"0";"1";"1";"1";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1"
3;"1";"0";"0";"0";"0";"0111";"0000";"0";"0";"1";"1";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0"
5;"1";"0";"0";"1";"0";"1100";"0010";"0";"0";"1";"1";"0";"1";"1";"1";"1";"1";"0";"0";"0";"0";"0"
9;"0";"0";"0";"1";"0";"0001";"0000";"0";"0";"1";"1";"0";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1"
3;"1";"0";"0";"0";"0";"0111";"1000";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0";"0";"0";"0";"1"
3;"0";"0";"0";"0";"0";"0001";"0000";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"1";"0";"0";"0";"0"
10;"1";"1";"0";"0";"0";"1001";"0000";"1";"0";"1";"1";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
10;"1";"1";"0";"1";"0";"0000";"0000";"0";"0";"1";"1";"1";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0"
50;"1";"0";"0";"1";"1";"1111";"1111";"0";"0";"1";"0";"1";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1"
10;"1";"1";"0";"1";"1";"1101";"1101";"0";"0";"1";"1";"1";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1"
39;"1";"1";"1";"1";"1";"1011";"1111";"0";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
16;"0";"0";"0";"0";"0";"0000";"0000";"0";"0";"1";"0";"0";"1";"1";"0";"1";"0";"0";"0";"1";"1";"0"
