"T1";"T2";"T3";"T41";"T42";"T5";"T61";"T62";"T71";"T72";"T8"
30;3;2;"1011";"1000";2;1;1;0;0;9
20;3;0;"0000";"0000";0;1;1;0;0;1
5;0;0;"0000";"0000";0;1;1;1;1;0
13;2;0;"0000";"0000";0;1;1;0;0;9
3;2;0;"0000";"0000";0;1;0;0;0;1
24;2;1;"1111";"1111";1;1;1;1;0;9
8;2;1;"1010";"1000";0;1;1;1;0;7
26;2;1;"1111";"0011";0;1;0;0;0;7
16;2;1;"1110";"1100";1;1;1;1;0;8
10;2;1;"0000";"0000";0;1;1;0;0;9
16;1;1;"1111";"0010";0;1;1;0;1;7
24;2;1;"0000";"0000";0;1;0;0;0;2
27;2;1;"0000";"0000";0;1;1;0;1;8
0;1;0;"0000";"0000";0;1;1;0;0;2
0;1;0;"0000";"0000";0;1;1;0;1;3
16;2;0;"0000";"0000";0;1;1;1;0;2
29;3;1;"1111";"1110";1;1;1;0;0;8
19;1;1;"1111";"1010";0;1;1;1;1;6
18;2;1;"0000";"0000";0;1;1;0;0;4
7;2;1;"0000";"0000";1;1;0;0;1;4
0;0;0;"0000";"0000";1;1;1;0;0;3
0;2;2;"0000";"0000";0;1;1;0;0;4
11;3;1;"0000";"0000";1;1;1;0;0;9
100;3;2;"1111";"1111";0;1;1;1;1;9
29;3;2;"1111";"1111";2;1;1;0;1;5
14;2;2;"1111";"0011";2;1;1;1;0;6
18;2;2;"1110";"1001";1;1;1;1;1;2
15;1;0;"0000";"0000";0;1;0;0;0;6
1;0;0;"0000";"0000";0;1;1;0;1;1
10;2;2;"0000";"0000";0;1;1;1;1;9
10;1;1;"1011";"0000";0;1;1;0;0;3
9;1;0;"0000";"0000";0;1;1;0;0;3
2;1;0;"0000";"0000";0;1;1;0;0;2
3;1;0;"0000";"0000";0;1;0;0;1;0
9;1;0;"0000";"0000";0;1;0;0;0;2
