"T1";"T2";"T3";"T41";"T42";"T5";"T61";"T62";"T71";"T72";"T81";"T82";"T83";"T84";"T85";"T86";"T87";"T88";"T89"
10;"111";"11";"1111";"1111";"11";"1";"0";"1";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1"
10;"111";"10";"0001";"0000";"00";"1";"0";"0";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1"
3;"000";"00";"0010";"0000";"00";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
11;"000";"00";"0001";"0000";"00";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1"
8;"110";"10";"0011";"0000";"00";"1";"0";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
5;"000";"00";"1100";"0000";"00";"1";"1";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0"
20;"111";"11";"1010";"1011";"10";"1";"1";"1";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1"
3;"100";"00";"0111";"0000";"00";"1";"1";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0"
5;"100";"10";"1100";"0010";"00";"1";"1";"0";"1";"1";"1";"1";"1";"0";"0";"0";"0";"0"
9;"000";"10";"0001";"0000";"00";"1";"1";"0";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1"
3;"100";"00";"0111";"1000";"00";"0";"0";"0";"0";"1";"0";"1";"1";"0";"0";"0";"0";"1"
3;"000";"00";"0001";"0000";"00";"0";"0";"0";"0";"1";"1";"1";"0";"1";"0";"0";"0";"0"
10;"110";"00";"1001";"0000";"10";"1";"1";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
10;"110";"10";"0000";"0000";"00";"1";"1";"1";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0"
50;"100";"11";"1111";"1111";"00";"1";"0";"1";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1"
10;"110";"11";"1101";"1101";"00";"1";"1";"1";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1"
39;"111";"11";"1011";"1111";"00";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
16;"000";"00";"0000";"0000";"00";"1";"0";"0";"1";"1";"0";"1";"0";"0";"0";"1";"1";"0"
15;"111";"11";"0000";"0000";"10";"1";"1";"1";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1"
13;"100";"00";"0000";"0000";"00";"1";"1";"1";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1"
15;"100";"10";"0001";"0000";"00";"1";"0";"0";"0";"1";"1";"0";"1";"1";"0";"0";"0";"0"
19;"100";"10";"1101";"1001";"00";"1";"1";"0";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1"
4;"100";"00";"1101";"0000";"00";"1";"1";"0";"0";"1";"1";"1";"1";"0";"1";"0";"0";"0"
14;"110";"10";"0111";"1001";"00";"1";"1";"0";"0";"1";"1";"1";"1";"1";"0";"1";"1";"1"
5;"110";"00";"0001";"0000";"00";"1";"1";"0";"0";"1";"1";"1";"1";"0";"0";"1";"1";"0"
28;"111";"11";"1101";"0000";"00";"1";"1";"1";"0";"1";"1";"1";"1";"1";"1";"1";"1";"0"
27;"111";"10";"0011";"0010";"00";"1";"1";"0";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1"
31;"110";"11";"1011";"1111";"00";"1";"1";"1";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1"
3;"011";"10";"1111";"0011";"00";"1";"1";"1";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1"
5;"111";"11";"0000";"0000";"00";"1";"1";"1";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1"
4;"110";"11";"1111";"1111";"00";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
10;"110";"11";"0110";"0011";"10";"1";"1";"1";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1"
20;"100";"11";"1101";"0110";"00";"1";"1";"0";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1"
18;"010";"00";"0001";"0000";"00";"1";"1";"1";"0";"1";"0";"1";"0";"1";"1";"0";"0";"0"
27;"110";"00";"1100";"0000";"00";"1";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0"
12;"000";"00";"0000";"0000";"00";"1";"0";"0";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1"
5;"000";"10";"0011";"0001";"00";"1";"1";"0";"0";"1";"1";"1";"0";"1";"0";"0";"0";"0"
10;"110";"11";"0011";"0011";"10";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
3;"100";"00";"0000";"0000";"00";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
4;"100";"00";"0011";"0000";"00";"1";"0";"0";"1";"0";"1";"1";"0";"0";"0";"0";"0";"0"
21;"100";"10";"0010";"0000";"10";"1";"0";"1";"0";"1";"1";"1";"1";"1";"1";"1";"0";"0"
4;"000";"00";"0000";"0000";"00";"0";"1";"0";"0";"0";"1";"1";"1";"1";"1";"0";"0";"0"
1;"000";"00";"1000";"0001";"00";"1";"1";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
10;"111";"11";"0001";"0000";"00";"1";"1";"1";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1"
